week1,home
2016-01-03,60
2016-01-10,58
2016-01-17,59
2016-01-24,59
2016-01-31,58
2016-02-07,55
2016-02-14,57
2016-02-21,58
2016-02-28,58
2016-03-06,59
2016-03-13,59
2016-03-20,60
2016-03-27,62
2016-04-03,62
2016-04-10,63
2016-04-17,62
2016-04-24,60
2016-05-01,59
2016-05-08,60
2016-05-15,61
2016-05-22,63
2016-05-29,63
2016-06-05,61
2016-06-12,61
2016-06-19,62
2016-06-26,62
2016-07-03,64
2016-07-10,63
2016-07-17,60
2016-07-24,62
2016-07-31,58
2016-08-07,57
2016-08-14,56
2016-08-21,57
2016-08-28,57
2016-09-04,58
2016-09-11,58
2016-09-18,57
2016-09-25,59
2016-10-02,57
2016-10-09,58
2016-10-16,56
2016-10-23,56
2016-10-30,56
2016-11-06,53
2016-11-13,59
2016-11-20,65
2016-11-27,61
2016-12-04,58
2016-12-11,58
2016-12-18,61
2016-12-25,63
2017-01-01,65
2017-01-08,60
2017-01-15,61
2017-01-22,58
2017-01-29,60
2017-02-05,57
2017-02-12,56
2017-02-19,60
2017-02-26,57
2017-03-05,60
2017-03-12,60
2017-03-19,59
2017-03-26,62
2017-04-02,62
2017-04-09,63
2017-04-16,63
2017-04-23,62
2017-04-30,61
2017-05-07,62
2017-05-14,62
2017-05-21,64
2017-05-28,66
2017-06-04,64
2017-06-11,63
2017-06-18,64
2017-06-25,65
2017-07-02,67
2017-07-09,71
2017-07-16,66
2017-07-23,66
2017-07-30,64
2017-08-06,62
2017-08-13,60
2017-08-20,59
2017-08-27,60
2017-09-03,63
2017-09-10,62
2017-09-17,61
2017-09-24,61
2017-10-01,59
2017-10-08,59
2017-10-15,60
2017-10-22,59
2017-10-29,60
2017-11-05,62
2017-11-12,63
2017-11-19,71
2017-11-26,68
2017-12-03,62
2017-12-10,63
2017-12-17,64
2017-12-24,71
2017-12-31,67
2018-01-07,62
2018-01-14,62
2018-01-21,62
2018-01-28,60
2018-02-04,59
2018-02-11,60
2018-02-18,63
2018-02-25,63
2018-03-04,63
2018-03-11,60
2018-03-18,60
2018-03-25,64
2018-04-01,63
2018-04-08,62
2018-04-15,62
2018-04-22,62
2018-04-29,65
2018-05-06,64
2018-05-13,63
2018-05-20,66
2018-05-27,70
2018-06-03,66
2018-06-10,66
2018-06-17,64
2018-06-24,65
2018-07-01,69
2018-07-08,69
2018-07-15,70
2018-07-22,66
2018-07-29,64
2018-08-05,64
2018-08-12,65
2018-08-19,66
2018-08-26,61
2018-09-02,63
2018-09-09,60
2018-09-16,60
2018-09-23,57
2018-09-30,58
2018-10-07,60
2018-10-14,59
2018-10-21,56
2018-10-28,60
2018-11-04,60
2018-11-11,63
2018-11-18,70
2018-11-25,66
2018-12-02,62
2018-12-09,63
2018-12-16,61
2018-12-23,68
2018-12-30,66
2019-01-06,64
2019-01-13,64
2019-01-20,65
2019-01-27,62
2019-02-03,60
2019-02-10,60
2019-02-17,61
2019-02-24,60
2019-03-03,61
2019-03-10,64
2019-03-17,62
2019-03-24,66
2019-03-31,67
2019-04-07,67
2019-04-14,65
2019-04-21,64
2019-04-28,68
2019-05-05,65
2019-05-12,66
2019-05-19,70
2019-05-26,73
2019-06-02,68
2019-06-09,69
2019-06-16,71
2019-06-23,74
2019-06-30,81
2019-07-07,80
2019-07-14,70
2019-07-21,70
2019-07-28,69
2019-08-04,68
2019-08-11,68
2019-08-18,67
2019-08-25,64
2019-09-01,65
2019-09-08,63
2019-09-15,64
2019-09-22,63
2019-09-29,62
2019-10-06,61
2019-10-13,61
2019-10-20,62
2019-10-27,61
2019-11-03,64
2019-11-10,62
2019-11-17,64
2019-11-24,72
2019-12-01,67
2019-12-08,64
2019-12-15,63
2019-12-22,69
2019-12-29,73
2020-01-05,66
2020-01-12,62
2020-01-19,64
2020-01-26,62
2020-02-02,62
2020-02-09,63
2020-02-16,64
2020-02-23,67
2020-03-01,65
2020-03-08,66
2020-03-15,83
2020-03-22,99
2020-03-29,100
2020-04-05,90
2020-04-12,93
2020-04-19,93
2020-04-26,97
2020-05-03,93
2020-05-10,93
2020-05-17,94
2020-05-24,87
2020-05-31,82
2020-06-07,85
2020-06-14,81
2020-06-21,82
2020-06-28,83
2020-07-05,79
2020-07-12,80
2020-07-19,81
2020-07-26,79
2020-08-02,76
2020-08-09,78
2020-08-16,75
2020-08-23,73
2020-08-30,74
2020-09-06,72
2020-09-13,69
2020-09-20,73
2020-09-27,70
2020-10-04,70
2020-10-11,74
2020-10-18,73
2020-10-25,71
2020-11-01,57
2020-11-08,77
2020-11-15,79
2020-11-22,84
2020-11-29,82
