week1,whome
2016-01-03,48
2016-01-10,47
2016-01-17,46
2016-01-24,44
2016-01-31,54
2016-02-07,46
2016-02-14,49
2016-02-21,52
2016-02-28,52
2016-03-06,65
2016-03-13,48
2016-03-20,59
2016-03-27,46
2016-04-03,58
2016-04-10,57
2016-04-17,55
2016-04-24,56
2016-05-01,42
2016-05-08,66
2016-05-15,60
2016-05-22,61
2016-05-29,59
2016-06-05,57
2016-06-12,56
2016-06-19,53
2016-06-26,59
2016-07-03,58
2016-07-10,52
2016-07-17,57
2016-07-24,49
2016-07-31,46
2016-08-07,54
2016-08-14,54
2016-08-21,56
2016-08-28,56
2016-09-04,58
2016-09-11,46
2016-09-18,42
2016-09-25,50
2016-10-02,50
2016-10-09,49
2016-10-16,55
2016-10-23,54
2016-10-30,40
2016-11-06,58
2016-11-13,56
2016-11-20,51
2016-11-27,62
2016-12-04,55
2016-12-11,53
2016-12-18,38
2016-12-25,62
2017-01-01,46
2017-01-08,49
2017-01-15,53
2017-01-22,47
2017-01-29,48
2017-02-05,52
2017-02-12,48
2017-02-19,49
2017-02-26,48
2017-03-05,53
2017-03-12,54
2017-03-19,52
2017-03-26,65
2017-04-02,54
2017-04-09,55
2017-04-16,55
2017-04-23,56
2017-04-30,63
2017-05-07,61
2017-05-14,57
2017-05-21,52
2017-05-28,59
2017-06-04,56
2017-06-11,48
2017-06-18,53
2017-06-25,67
2017-07-02,61
2017-07-09,64
2017-07-16,59
2017-07-23,56
2017-07-30,55
2017-08-06,66
2017-08-13,52
2017-08-20,49
2017-08-27,58
2017-09-03,49
2017-09-10,46
2017-09-17,54
2017-09-24,45
2017-10-01,52
2017-10-08,51
2017-10-15,55
2017-10-22,46
2017-10-29,53
2017-11-05,51
2017-11-12,54
2017-11-19,58
2017-11-26,66
2017-12-03,53
2017-12-10,60
2017-12-17,46
2017-12-24,54
2017-12-31,49
2018-01-07,63
2018-01-14,52
2018-01-21,45
2018-01-28,41
2018-02-04,48
2018-02-11,51
2018-02-18,39
2018-02-25,55
2018-03-04,63
2018-03-11,55
2018-03-18,56
2018-03-25,51
2018-04-01,57
2018-04-08,72
2018-04-15,55
2018-04-22,57
2018-04-29,61
2018-05-06,75
2018-05-13,60
2018-05-20,51
2018-05-27,63
2018-06-03,67
2018-06-10,54
2018-06-17,57
2018-06-24,52
2018-07-01,49
2018-07-08,61
2018-07-15,56
2018-07-22,52
2018-07-29,55
2018-08-05,54
2018-08-12,45
2018-08-19,48
2018-08-26,59
2018-09-02,55
2018-09-09,42
2018-09-16,53
2018-09-23,44
2018-09-30,50
2018-10-07,53
2018-10-14,42
2018-10-21,39
2018-10-28,54
2018-11-04,52
2018-11-11,51
2018-11-18,53
2018-11-25,56
2018-12-02,61
2018-12-09,54
2018-12-16,53
2018-12-23,49
2018-12-30,56
2019-01-06,56
2019-01-13,50
2019-01-20,48
2019-01-27,44
2019-02-03,51
2019-02-10,46
2019-02-17,49
2019-02-24,43
2019-03-03,57
2019-03-10,51
2019-03-17,57
2019-03-24,58
2019-03-31,61
2019-04-07,65
2019-04-14,57
2019-04-21,54
2019-04-28,60
2019-05-05,64
2019-05-12,57
2019-05-19,51
2019-05-26,53
2019-06-02,61
2019-06-09,46
2019-06-16,51
2019-06-23,70
2019-06-30,46
2019-07-07,63
2019-07-14,62
2019-07-21,59
2019-07-28,49
2019-08-04,52
2019-08-11,60
2019-08-18,54
2019-08-25,47
2019-09-01,51
2019-09-08,36
2019-09-15,53
2019-09-22,53
2019-09-29,54
2019-10-06,52
2019-10-13,50
2019-10-20,43
2019-10-27,52
2019-11-03,56
2019-11-10,50
2019-11-17,53
2019-11-24,55
2019-12-01,57
2019-12-08,54
2019-12-15,41
2019-12-22,55
2019-12-29,67
2020-01-05,49
2020-01-12,44
2020-01-19,52
2020-01-26,44
2020-02-02,52
2020-02-09,41
2020-02-16,48
2020-02-23,48
2020-03-01,52
2020-03-08,51
2020-03-15,40
2020-03-22,56
2020-03-29,78
2020-04-05,75
2020-04-12,80
2020-04-19,86
2020-04-26,97
2020-05-03,100
2020-05-10,87
2020-05-17,93
2020-05-24,86
2020-05-31,78
2020-06-07,86
2020-06-14,83
2020-06-21,67
2020-06-28,86
2020-07-05,74
2020-07-12,73
2020-07-19,86
2020-07-26,65
2020-08-02,78
2020-08-09,69
2020-08-16,74
2020-08-23,63
2020-08-30,58
2020-09-06,70
2020-09-13,58
2020-09-20,60
2020-09-27,65
2020-10-04,58
2020-10-11,64
2020-10-18,65
2020-10-25,56
2020-11-01,53
2020-11-08,63
2020-11-15,71
2020-11-22,78
2020-11-29,81
